id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,keyword
17848236599597387,"Ene oor in, andere oor uit, resultaat: een badkamer die blank staat🙄
​
​#badkamerpret #overstroming #ikhadnogzogezegdgeenbommetje #dovemansoren #momlife #moederschap #babybytesnl",1,3,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/194767225_105877814944041_3181200435925061543_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=W5feC-gbnWoAX_5s48m&_nc_ht=scontent.cdninstagram.com&oh=8b8c58e6766f52a6a93638bd856e08f5&oe=60BC4957,https://www.instagram.com/p/CPlZpcIDGEz/,2021-06-01T16:32:24+0000,none
18157346680082588,"Niemand houdt van natte voeten, toch? Begin vorig jaar stroomden verschillende kades in Dordt over. Om dit in de toekomst te voorkomen is het belangrijk dat we nu al nadenken over hoe wij als stad samen leven met het water. (Foto: Jeroen Verbueken)  #Festival #Dordrecht #SEV600 #Tijfestival #Overstroming",0,2,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/194360598_859737214893654_4582543897107451366_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=-dB_Ar4nRpcAX-txqpf&_nc_ht=scontent.cdninstagram.com&oh=48788222e941fdad32adbbed4a43c7a9&oe=60BB6EE2,https://www.instagram.com/p/CPlWHJ9rcNR/,2021-06-01T16:01:32+0000,none
