,id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,keyword,hashtag,children
3,17926737910612647,"Far cadere Trump e Conte era solo l'inizio del piano.

Ora passiamo agli obiettivi seri: conquistare il Campidoglio e governare Roma a colpi di libero mercato, transizione ecologica, movida, investimenti internazionali e longlife learning, il tutto con arie d'opera di sottofondo.

A quel punto saremo pronti per gli step ancora più ambiziosi.

Trust the Capitol, bischeri

societaaperta radicali_shitposting 
#cartelli #renzi #trusttheplan #complotto #italygate #bischero #roma #comune #elezioni #trasporti #treni #metro #ferrovie #atac #cotral #arabiasaudita #salman #ama #acea #acqua #alluvione",5,145,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199064412_926718911443645_4816056529061573073_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=tP5qxCtDCTYAX8yEEAr&_nc_oc=AQnDdCJvr3DxnRayAUJxm9JlPmGDAGcI3V3CA0Rtj67Cf3EfnaC2TjGmxRK5qNf7HGE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=733018de1cc5dc634c9cf9a93a106b89&oe=60C539E1,https://www.instagram.com/p/CP5ecCGlKEh/,2021-06-09T11:39:04+0000,none,alluvione,
4,17880097907357766,Reposted from federicopalmaroli Ok la targa è giusta #corsofrancia #raggi #alluvione #lepiubellefrasidiosho,0,25,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199315588_511961583290535_8522543966441397554_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=hkKkLwKo9nkAX-sm8vI&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=7ddc1e54a368afe3ca88648b61c39695&oe=60C60624,https://www.instagram.com/p/CP5db4yrfMa/,2021-06-09T11:30:18+0000,none,alluvione,
5,18181272958118541,"#Repost federicopalmaroli with make_repost
・・・
Ok la targa è giusta #corsofrancia #raggi #alluvione #lepiubellefrasidiosho",1,58,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/197908045_149697020482442_37732447908762134_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=wTYbTF9B2OsAX-0ev59&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=064f2bc0cbb7682970d234c0f2dd0b50&oe=60C60103,https://www.instagram.com/p/CP5cjbnhHJh/,2021-06-09T11:22:36+0000,none,alluvione,
6,18073982203286629,Ok la targa è giusta #corsofrancia #raggi #alluvione #lepiubellefrasidiosho,67,1678,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198797939_591192758937634_9034563255116187143_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=bLRIzUH2kZYAX9QcLiG&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=f86d3f6fe37aab7a4a165f521cdbd1d4&oe=60C5CC40,https://www.instagram.com/p/CP5Wk-lB4qy/,2021-06-09T10:30:23+0000,none,alluvione,
7,17905774774938047,"Non so perché,ma la giornata di ieri mi ricorda tanto la canzoncina “alla fiera dell’est” dove il papà doveva andare a tutti i costi,nonostante il cane,che si mangiò il gatto, che si mangiò il topo.... ecc ecc.
•
•
Ecco,era una tranquilla giornata di sole,con abbigliamento estivo,sfoggiando ciabattine e borse nuove,una meravigliosa giornata per noi,con un pranzetto e poi....
La fiera... non dell’est,ma di Hermes... 
la Svendita più glamour e attesa degli ultimi anni. Un evento mondiale,così come il diluvio che  arrivò.... gli allagamenti... le strade bloccate,ma noi....intrepide e decise,pur di arrivare lì,anche a nuoto (più io che lei)
Alla fine.... ce l’abbiamo fatta!! 
E con il nostro shopping direi che ne è valsa la pena .
Ma soprattutto,volete mettere a confronto una noiosa giornata dove tutto è perfetto,con una vera avventura alla Thelma e Louise ?!
Ti adoro 😂❤️ _chiara_dantoni_ 
8 giugno 2021 (fate ancora in tempo a guardare le storie )
•
•
#roma #diluviouniversale #grandine #alluvione #fun #friendship #friends #aboutyesterday #lunch #girlspower #hermes",189,404,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP4-IEKherM/,2021-06-09T06:56:43+0000,none,alluvione,"{'data': [{'id': '18155658565092399'}, {'id': '17849069957600289'}]}"
0,18109323691246764,"L'alluvione del Po nel 1951. The food of the river Po in Italy in 1951
#flood #flooding #dead #boat #povalley #italy #poriver #sketchbook #pendrawing #drawing #plainedupô #inondation #péniche #fleuvepô #pianurapadana #alluvione #fiumepo #barcone #adria #rovigo #polesine #1951 #drawing #schizzi #fountainpen",1,11,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199210568_153106856749824_7799641356596361304_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=aSwcB2xtMMQAX-3giAB&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=f18c6c4971fe7eee7cd9b70431a7406e&oe=60C8374F,https://www.instagram.com/p/CP_TzoqhqFL/,2021-06-11T18:01:37+0000,none,alluvione,
1,17886116480185940,Quando vuoi provare se un prodotto funziona allora apri la macchina della tua ragazza e spruzzi a caso #labocosmetica #ductile #alluvione #fosso #wlapussy,5,5,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/197872317_264440345462656_9147963129467455075_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=gTYN1-YNFQkAX8gScDM&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=0972d716b77e7ba93427652e79dd43f6&oe=60C9AAEF,https://www.instagram.com/p/CP_KgzslzeS/,2021-06-11T16:40:24+0000,none,alluvione,
2,17904356725893222,"Na području Požege pala je velika količina oborina i poplavila obiteljske kuće i gospodarske objekte. Nakon sanacije vode vršimo dubinsko isušivanje obiteljske kuće u Požegi.

#poplava #isušivanje #dubinskoisusivanje #flood #alluvione #flut #gradpožega #požega #proluft",0,16,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP-92k5reDw/,2021-06-11T14:49:46+0000,none,alluvione,"{'data': [{'id': '17916691993738458'}, {'id': '17885363165195961'}, {'id': '18231658804038117'}, {'id': '17877678143468543'}]}"
3,17856730685564557,"Ci sono volte in cui parlare di comodità sarebbe fuori luogo 😅 

Un’esperienza senz’altro inaspettata, che ci ha trovati increduli ed anche un po’ arrabbiati, ma che ci ha insegnato qualcosa di davvero importante: i nostri infissi sono proprio il 🔝😆

Grazie a tutti coloro che si sono preoccupati per la nostra incolumità e la sicurezza del nostro punto vendita🙏🏻
.
.
.

#materasso #materassi #dormire #dormirebene #letto #madeinitaly #riposo #relax #sleep #sonno #ricordi #petfriendly #materassomemory #benessere #allagamento #digitalmarketing #rome #letti #mkt #reti #salute #tempur #dogs #viral #alluvione #dog #corsofrancia #business",7,5,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/198189741_859332301605740_76278936474486551_n.mp4?_nc_cat=100&vs=17879675582311941_3712773829&_nc_vs=HBksFQAYJEdLMGkwQXRzeTVUa2pnMERBQmNIYU9CSi13NEJia1lMQUFBRhUAAsgBABUAGCRHQWJWemd0cGZScmlBX0lHQVBvTWhielJiYm9iYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbKp6P7jbLqPxUCKAJDMywXQEe3bItDlYEYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5mZWVkIn0%3D&_nc_ohc=DhJ2YtZzUcUAX-7DWfc&_nc_oc=AQlH3JG8LJQcBd3Y0dEDMyiwMha23bvKnpZPpsbq8YQZPctVx1OrDZwNXTMpmxJGUI0&_nc_ht=video-sea1-1.cdninstagram.com&oh=a6ba2af87bc9e00f602c4f05ca6fa9ea&oe=60C94B47&_nc_rid=ef0935340d,https://www.instagram.com/p/CP-9X1uoS4Q/,2021-06-11T14:49:23+0000,none,alluvione,
4,17883052874244325,"Hai avuto un danno ?
Non Ti hanno risarcito il Giusto ?
CHIAMACI SUBITO ! 
CONSULENZA GRATUITA
Pagamento solo su Risultato Ottenuto.

GRUPPO TUTELA 
Via Monfalcone 2 Sesto San Giovanni (MI) Tel: 02/2440322

Segui gruppotutela

Gruppo Tutela nasce dall'unione di professionisti in diversi campi per tutelare al meglio i Clienti grazie allo scambio di consulenze ed informazioni.

#peritoparte #amministrazionicondomini #peritodiparte #mutua #pensione #risarcimenti #incidenti #soldi #italia #lombardia #diritti #qualità #vita #risarcimento #malasanità #assicurazioni #sinistri #alluvione #dannicivili #casa #immobili #amministrazione #professionisti",0,1,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/198397891_485462319195559_6297743926292175497_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=rd5VTG5_9ocAX-INQAP&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=520c282b2aff0584fa063bc8adce8c02&oe=60C9C81E,https://www.instagram.com/p/CP-W98TLWrS/,2021-06-11T09:09:59+0000,none,alluvione,
