id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,skipped
17927632183605037,"Aguacero deja inundaciones en el puerto de Veracruz

Docenas de calles inundadas y cientos de vehículos, así como personas, quedaron varados en calles de diversas colonias de la ciudad de Veracruz; también se reportó la inundación de parte de las instalaciones del IMSS de la avenida Cuauhtémoc.

Link en bio 🔗 para más información.

#IMSS #Veracruz #ElDictamen #Inundación",0,9,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/194191018_501881550856525_3893752885006200147_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=788eArBQiTYAX-6SjJz&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8497fb92aeceb69b066d4b28100a6491&oe=60B9D421,https://www.instagram.com/p/CPi1uzSBqFj/,2021-05-31T16:40:04+0000,False
17919529660711802,"De acuerdo con la información proporcionada por la Dirección Regional de ONEMI Ñuble, en relación a la inundación originada por el cierre de la barra del río Perales en la comuna de Coelemu, se indica que ésta logró ser detenida ayer tras el inicio de los trabajos con excavadora, pese a que se mantiene la ocurrencia de marejadas.

Con lo anterior, se señala que la descarga de las aguas del río al océano ha sido recuperada, permaneciendo las viviendas cercanas sin afectación.

 
En conformidad con estos antecedentes, la Intendencia de la Región de Ñuble, en coordinación con la Dirección Regional de ONEMI, mantiene la Alerta Amarilla para la comuna de Coelemu, por inundación, que se encuentra vigente desde el 28 de mayo de 2021 y hasta que las condiciones así lo ameriten.

Bajo la supervisión de personal municipal y de la Dirección de Obras Portuarias continúan los trabajos destinados a asegurar la normal descarga de las aguas del río Perales. 

#noticaschile #chile #alertamarilla #coelemu #inundación",0,8,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193331943_768524370512333_1838618190685965021_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=O4dbNvueefsAX8B8J9M&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=44375cbce5da6ecd906957a21d61dc14&oe=60B99F12,https://www.instagram.com/p/CPhRFjdBD3b/,2021-05-31T02:00:38+0000,False
