id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp
17859196241520505,"EP out on friday!! 🤘
#floodseason 
#opusmagnum",0,2,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/204003963_870757696859296_1546685507392734831_n.mp4?_nc_cat=110&vs=17937277504542605_1264976554&_nc_vs=HBksFQAYJEdIdmFLQXlnN0RRVDh4Y0RBR19HWXpkRzduWVZia1lMQUFBRhUAAsgBABUAGCRHUFlzQkF5WEh6SU5XN0lGQU9vQktUaVpkTkF6YmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbqz5vCltTjQBUCKAJDMywXQDQAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=ksrB-IlQ50sAX_Owgco&_nc_ht=video-sea1-1.cdninstagram.com&oh=fe91a1b79adcee8305e21eba52fb2de3&oe=60CFECB3&_nc_rid=3484b41b6c,https://www.instagram.com/p/CQWJr-Eh3kT/,2021-06-20T14:57:57+0000
17888767280259437,Give It To Ya is now out on all platforms.  Go stream it. #twerkchallenge to it.  Do what ever.  Make this pop. #floodseason  #wolf #perge,13,13,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/203109488_195761029002952_6790365869229158404_n.mp4?_nc_cat=107&vs=17901182609058135_2886742919&_nc_vs=HBksFQAYJEdIQTBHd3pJTnBncUM3SUFBQVF3Vi1ySE9UeGVia1lMQUFBRhUAAsgBABUAGCRHUHlvTHd3dHNTMUF0NWtLQUozS2tIQUJwcmNPYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbcgJKSmKziQBUCKAJDMywXQErZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=O3527LfKWYAAX_94hrg&_nc_ht=video-sea1-1.cdninstagram.com&oh=8ddb3d09541b76d5bc596feeffa2a64c&oe=60CFEB29&_nc_rid=1924c8dcdd,https://www.instagram.com/p/CQUCFQCBl70/,2021-06-19T19:11:22+0000
