id,caption,comments_count,like_count,media_type,permalink,timestamp,media_url,children,keyword
17890356527111930,"Must watch!
PM Narendra Modi claimed India's forest cover had increased by 3 million or 30 lakh hectares in the last decade.
#factfaila_fakehata
.
Source :- https://www.factchecker.in/fact-check/forest-cover-tree-cover-not-increased-by-3-million-isfr-narendra-modi-united-nations-755513
.
#narendramodi
#unitednations#forestcover#treecover#forestsurveyofindia#trending#mustwatch#facts#news#india#awareness#nation#covid#vaccine#landdegradation#floods#deforestation#instadaily#factchecker#forest#nature#worldwnvironmetday",0,5,VIDEO,https://www.instagram.com/p/CQL21Q0jydG/,2021-06-16T14:59:25+0000,,,none
17888167835161823,"Nine people have been rescued from the Midim River in Lamjung,Nepal since yesterday.

#staysafe rescue.

#flood #floods #landslides #naturaldisasters #lamjung #prayfornepal #nepalfloods #habamoment",0,16,IMAGE,https://www.instagram.com/p/CQL2Uitskrp/,2021-06-16T14:54:05+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/201253266_124537183118100_2071773325100581267_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=tLe-8COOkJEAX-7oEb2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=19bfd81aaefc97c1809c28549ed36617&oe=60CFBDA0,,flood
17883472091338092,"16th june 2013, Uttarakhand floods caused a major havoc, killed people in huge nos., made a huge dent in economy, tourism & life of people. This horror stories of people who survived and the hardships dey faced made me indulge into the disaster studies and following year I enrolled for PG program in Disaster Management. 

Disasters dont impact people for a short time, but its the long lasting effects which actually cripple the society at large. Let's pledge to make this world a better place, let's equip ourselves wd basics of disaster & emergency preparedness, let's make a safe & resilient world !

#uttarakhand #disaster #floods #cloudburst #emergency #management #cdep",0,6,IMAGE,https://www.instagram.com/p/CQLzJ1nNjMy/,2021-06-16T14:26:25+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/201174425_169879478439704_3205715079309143204_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=cnl-HOLq4ZoAX-4aZKl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2a9c74997749ceb70030dbfd983e4317&oe=60CE24A7,,none
18118968076229145,"Um sonho que realizamos
.
 #mochila #bermuda #bolsa #mala #body #short #carteira #blusa #óculos #meia #qualidade #varejo #boné #atacado #moletom #necessaire #cianorte #cianorteconfeccoes #presente #roupa #camiseta #vempracianorte #precobaixo #moda #toalha #chaveiro #cueca #relógio #pulseira #floods",0,6,IMAGE,https://www.instagram.com/p/CQLy8bTBQ2P/,2021-06-16T14:24:35+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199654318_157620586396177_4917611150849409955_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=HysxGkhKOGUAX8pOWqY&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=02c7d844804d24b3ead4245cec287217&oe=60CF3D4E,,none
17890275266301451,"Does your business have a flood plan in place? 🏢

#SERVPRO #SERVPROEastMemphis #EastMemphis #MemphisTN #ilovememphis #memphis #choose901 #flooding #flood #rain #storm #floods #water #waterdamage #flooded #restoration #flooddamage #floodrestoration #floodinsurance #waterdamagerestoration #watermitigation #commercial #commercialproperty #floodplan",0,0,IMAGE,https://www.instagram.com/p/CQLyFxxlSf4/,2021-06-16T14:17:15+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201406326_970460490377303_6287734795854123210_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=HJFlD6Y-my8AX89aR-y&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=53286ce0b3c7a53363eb868a5c7d4ab6&oe=60CF2A5F,,none
17881109327291986,"Does your business have a flood plan in place? 🏢

#SERVPRO #SERVPROGermantownCollierville #Collierville #ColliervilleTN #GermantownTN #Germantown #MemphisTN #Memphis #TN #Tennessee #Memphis #flooding #flood #rain #storm #floods #water #waterdamage #flooded #restoration #flooddamage #floodrestoration #floodinsurance #waterdamagerestoration #watermitigation  #floodplain #tips #commercial",0,1,IMAGE,https://www.instagram.com/p/CQLx-BptcBh/,2021-06-16T14:16:13+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201509134_324789625871123_8463743387768178589_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=cN7woLbtcckAX9kK6OX&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=f9595980c2db13b931e5a36131db1243&oe=60CF4D0C,,none
17888560700273082,"Dreadful Cyclones in South India - Tamil Nadu
#cyclonetauktae #cyclone #tamilnadu #vardah #gajacyclone #tauktaecyclone #tamilnaducyclone #climate #climatechange #thane #nivarcyclone #climateknowledge #weather #floods #deathtoll #generalknowledge #geography #meteorology #southindiaweather #tamilnaduclimate #ockhicyclone #weathereducation #rainfall #heavyflow #bayofbengal",0,4,CAROUSEL_ALBUM,https://www.instagram.com/p/CQLxX5Iqpr2/,2021-06-16T14:10:51+0000,,"{'data': [{'id': '17944755250499319'}, {'id': '17910512758873607'}, {'id': '17888996657245801'}, {'id': '17958541354440343'}, {'id': '17849129258588901'}]}",none
17957522341446095,"Does your business have a flood plan in place? 🏢

#SERVPRO #SERVPROBartlettCordova #MemphisTN #Memphis #BartlettTN #TN #CordovaTN #flooding #flood #rain #storm #floods #water #waterdamage #flooded #nature #restoration #flooddamage #floodrestoration #floodinsurance #waterdamagerestoration #watermitigation",0,0,IMAGE,https://www.instagram.com/p/CQLxSGJLEuC/,2021-06-16T14:10:13+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201360938_818340785482088_380473542700646461_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Dh6_FLeVCdIAX9zb03M&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=78990d889a708f8d9eac64ba2788869f&oe=60CE3813,,none
17991005992361442,"Watch how 2000 kanals of paddy land in Budgam district turned barren as water channel irrigating these once fertile lands remained blocked since 2014. Irrigation Dept failed to clear the blockage caused by a landslide more than seven years ago leaving hundreds of farming families in lurch and huge tracts of land barren.

#kashmirobserver #kashmir #land #irrigation #barren #department #failure #water #channel #block #floods #well #blockage",0,1,VIDEO,https://www.instagram.com/tv/CQLvfV7AOUv/,2021-06-16T14:02:58+0000,https://video-sea1-1.cdninstagram.com/v/t50.16885-16/10000000_4699649536716614_7594858678190812372_n.mp4?_nc_cat=108&vs=17946572422489090_1967113639&_nc_vs=HBksFQAYJEdJQ1dtQUJHYnpSdFRySVFBTlFzMjRDNlcyWnBidlZCQUFBRhUAAsgBABUAGCRHRGdWLXdzc1Q0am1wTnNCQVBTMndTazlUbElSYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbK84CXi9S%2FPxUCKAJDMywXQHdO7ZFocrAYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0diJ9&_nc_ohc=GJ1wEbB5bwkAX-TUpzZ&_nc_ht=video-sea1-1.cdninstagram.com&oh=36874572fe3068f263a5d008adb1d3be&oe=60CEB100&_nc_rid=2bb429e3f9,,none
17889941414235668,"Flooding is the world’s costliest natural hazard, and its impacts are only getting worse as the climate changes. By 2030, floods are expected to affect 147 million people a year at a cost of over $700 billion dollars. With the right early warning systems, most flood impacts are avoidable. Flood Map Live software runs day and night using the latest rainfall now-casts and forecasts. This allows us to predict the time and depth of flooding at your location helping you take the right cause of action to protect your people and your property. 

#floodmapping #floodforecasting #floodinsurance #fema #climatechange #flood #floods #flooding",0,2,VIDEO,https://www.instagram.com/tv/CQLs6PznKLt/,2021-06-16T13:37:04+0000,https://video-sea1-1.cdninstagram.com/v/t50.16885-16/10000000_488484635713769_4776621770611389343_n.mp4?_nc_cat=107&vs=17922778414658069_2404934600&_nc_vs=HBksFQAYJEdJQ1dtQURwb0RBeFJyd0JBSjl6c0ZjeF9FbENidlZCQUFBRhUAAsgBABUAGCRHTGpIRGd3OGlPRDRVTG9GQUhDUDZxSjRnbWRTYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb61oSs083VPxUCKAJDMywXQFg5mZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0diJ9&_nc_ohc=5CI6QJN0Y2sAX-fzcSQ&_nc_ht=video-sea1-1.cdninstagram.com&oh=5cadc26b65a9ec2b591baa1dbfd7d9e1&oe=60CE997D&_nc_rid=b90c1ed272,,none
17875595147440149,"R.N. und seine Familie waren von den starken Regenfällen besonders betroffen. Durch die Unwetter wurde ihr gesamtes Haus zerstört. Sie blieben auf ihrem Grundstück, um noch brauchbares Material vor Diebstahl zu schützen.

Mehr Infos: burundikids.org

-

R.N. and his family were particularly affected by the heavy rains. Their entire house was destroyed by the storms. They stayed on their property to protect still usable material from theft. The family lived there under a tarpaulin.

#Burundi #Burundikids #Floods #weltweitwichtig #Überschwemmungen #Nothilfe",0,10,IMAGE,https://www.instagram.com/p/CQLrK_ZBlEG/,2021-06-16T13:16:40+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/200990355_337066971269508_3164665452090712438_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=f_i2qZpQOHwAX8t9eYy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d75874767c367fa4ccdedecd80d9efa1&oe=60CEBA97,,flood
17857627223569550,"Combo com valor  promocional.

Pulseira de couro 100% natural e pingente de aço banhada. 

#modamasculina #homenmoderno #acessorios #acessoriosmasculinos #modamasculina #acessorios #pulseirismo #moda #pulseiras #pulseira #presente #estilo #floods #artigosmasculinos #presentefloods #pulseirasmasculinas #fashion #estilomasculino #pulseirasdecouro #brasil #style #menstyle #cordoesmasculinos #caririaçu #cariri #juazeirodonorte #barbalha #cratoceará #padrecicero",1,9,IMAGE,https://www.instagram.com/p/CQLqCOgDkAd/,2021-06-16T13:06:44+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/201128634_474867180470686_5181534981069178402_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QpeW1T0ISXoAX_j70nq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=5b67c4803a6415a06870c03d60fe4938&oe=60CE68D2,,none
